id,Action Type,Work Type
28827,ADD/ALT,No plan review
28828,ADD/ALT,Plan Review
28829,ADD/ALT,Plan Review
28830,ADD/ALT,Plan Review
28831,ADD/ALT,Plan Review
28832,ADD/ALT,No plan review
28833,ADD/ALT,No plan review
28834,ADD/ALT,Plan Review
28835,ADD/ALT,No plan review
28836,ADD/ALT,No plan review
28837,ADD/ALT,No plan review
28838,DEMOLITION,No plan review
28839,NEW,Plan Review
28840,ADD/ALT,No plan review
28841,NEW,Plan Review
28842,ALTER,Plan Review
28843,ADD/ALT,No plan review
28844,ADD/ALT,Plan Review
28845,NEW,Plan Review
28846,TREE/VEGETATION MAINT/RESTORE,No plan review
28847,TREE/VEGETATION MAINT/RESTORE,No plan review
28848,ADD/ALT,Plan Review
28849,ADD/ALT,Plan Review
28850,ADD/ALT,Plan Review
28851,ADD/ALT,No plan review
28852,,Plan Review
28853,ADD/ALT,No plan review
28854,ADD/ALT,No plan review
28855,ADD/ALT,No plan review
28856,NEW,Plan Review
28857,NEW,Plan Review
28858,ADD/ALT,Plan Review
28859,ADD/ALT,No plan review
28860,ADD/ALT,No plan review
28861,ADD/ALT,Plan Review
28862,ADD/ALT,No plan review
28863,ADD/ALT,No plan review
28864,ADD/ALT,No plan review
28865,ADD/ALT,Plan Review
28866,ADD/ALT,No plan review
28867,ADD/ALT,No plan review
28868,NEW,Plan Review
28869,ADD/ALT,No plan review
28870,ADD/ALT,No plan review
28871,ADD/ALT,Plan Review
28872,ADD/ALT,Plan Review
28873,ADD/ALT,No plan review
28874,NEW,Plan Review
28875,ADD/ALT,No plan review
28876,ADD/ALT,No plan review
28877,ADD/ALT,Plan Review
28878,ADD/ALT,No plan review
28879,ADD/ALT,No plan review
28880,ADD/ALT,No plan review
28881,ADD/ALT,No plan review
28882,ADD/ALT,Plan Review
28883,ADD/ALT,No plan review
28884,CURB CUT,No plan review
28885,ADD/ALT,Plan Review
28886,DEMOLITION,No plan review
28887,CURB CUT,No plan review
28888,NEW,Plan Review
28889,DEMOLITION,No plan review
28890,ADD/ALT,No plan review
28891,ADD/ALT,No plan review
28892,ADD/ALT,No plan review
28893,ADD/ALT,No plan review
28894,ADD/ALT,Plan Review
28895,DEMOLITION,No plan review
28896,ALTER,Plan Review
28897,ADD/ALT,No plan review
28898,ALTER,Plan Review
28899,ADD/ALT,No plan review
28900,ALTER,Plan Review
28901,ADD/ALT,No plan review
28902,ADD/ALT,No plan review
28903,ADD/ALT,No plan review
28904,ADD/ALT,No plan review
28905,ALTER,Plan Review
28906,ADD/ALT,No plan review
28907,NEW,Plan Review
28908,ADD/ALT,No plan review
28909,ADD/ALT,No plan review
28910,ADD/ALT,Plan Review
28911,ADD/ALT,No plan review
28912,ADD/ALT,No plan review
28913,ADD/ALT,Plan Review
28914,NEW,Plan Review
28915,ADD/ALT,Plan Review
28916,ADD/ALT,No plan review
28917,ADD/ALT,Plan Review
28918,ADD/ALT,No plan review
28919,ADD/ALT,No plan review
28920,ADD/ALT,No plan review
28921,ADD/ALT,No plan review
28922,ADD/ALT,No plan review
28923,ADD/ALT,Plan Review
28924,ADD/ALT,Plan Review
28925,ADD/ALT,Plan Review
28926,ADD/ALT,Plan Review
28927,ADD/ALT,Plan Review
28928,ADD/ALT,No plan review
28929,NEW,Plan Review
28930,ADD/ALT,No plan review
28931,ADD/ALT,Plan Review
28932,ADD/ALT,No plan review
28933,ADD/ALT,No plan review
28934,ADD/ALT,No plan review
28935,ADD/ALT,No plan review
28936,ADD/ALT,No plan review
28937,ADD/ALT,No plan review
28938,ADD/ALT,No plan review
28939,ADD/ALT,No plan review
28940,ADD/ALT,Plan Review
28941,ADD/ALT,Plan Review
28942,ADD/ALT,Plan Review
28943,ADD/ALT,Plan Review
28944,ADD/ALT,No plan review
28945,NEW,Plan Review
28946,ADD/ALT,Plan Review
28947,ADD/ALT,Plan Review
28948,ADD/ALT,No plan review
28949,ADD/ALT,Plan Review
28950,ADD/ALT,Plan Review
28951,ADD/ALT,No plan review
28952,ADD/ALT,No plan review
28953,ADD/ALT,No plan review
28954,ADD/ALT,No plan review
28955,ADD/ALT,Plan Review
28956,ADD/ALT,No plan review
28957,ADD/ALT,Plan Review
28958,ADD/ALT,No plan review
28959,ADD/ALT,No plan review
28960,ALTER,Plan Review
28961,ADD/ALT,Plan Review
28962,NEW,Plan Review
28963,DEMOLITION,Plan Review
28964,NEW,Plan Review
28965,NEW,Plan Review
28966,NEW,Plan Review
28967,ADD/ALT,No plan review
28968,ADD/ALT,Plan Review
28969,DEMOLITION,No plan review
28970,ADD/ALT,Plan Review
28971,ADD/ALT,No plan review
28972,ADD/ALT,No plan review
28973,NEW,Plan Review
28974,NEW,Plan Review
28975,NEW,Plan Review
28976,NEW,Plan Review
28977,ADD/ALT,No plan review
28978,ADD/ALT,No plan review
28979,ADD/ALT,No plan review
28980,NEW,Plan Review
28981,NEW,Plan Review
28982,NEW,Plan Review
28983,NEW,Plan Review
28984,NEW,Plan Review
28985,NEW,Plan Review
28986,ADD/ALT,Plan Review
28987,ADD/ALT,Plan Review
28988,ADD/ALT,Plan Review
28989,ADD/ALT,No plan review
28990,ADD/ALT,No plan review
28991,ADD/ALT,No plan review
28992,ADD/ALT,Plan Review
28993,ADD/ALT,No plan review
28994,NEW,Plan Review
28995,ADD/ALT,No plan review
28996,ADD/ALT,No plan review
28997,ADD/ALT,No plan review
28998,ADD/ALT,No plan review
28999,ADD/ALT,No plan review
29000,NEW,Plan Review
29001,TEMP,Plan Review
29002,NEW,Plan Review
29003,ADD/ALT,Plan Review
29004,NEW,Plan Review
29005,ADD/ALT,Plan Review
29006,ADD/ALT,No plan review
29007,ALTER,Plan Review
29008,ADD/ALT,Plan Review
29009,NEW,Plan Review
29010,DEMOLITION,No plan review
29011,DEMOLITION,No plan review
29012,ADD/ALT,Plan Review
29013,ADD/ALT,Plan Review
29014,TEMP,Plan Review
29015,ADD/ALT,No plan review
29016,ALTER,Plan Review
29017,ADD/ALT,No plan review
29018,ADD/ALT,Plan Review
29019,ADD/ALT,Plan Review
29020,ADD/ALT,No plan review
29021,ADD/ALT,Plan Review
29022,ADD/ALT,Plan Review
29023,TREE/VEGETATION MAINT/RESTORE,No plan review
29024,DEMOLITION,No plan review
29025,NEW,Plan Review
29026,ADD/ALT,No plan review
29027,ADD/ALT,No plan review
29028,ADD/ALT,No plan review
29029,NEW,Plan Review
29030,ADD/ALT,Plan Review
29031,ADD/ALT,Plan Review
29032,ADD/ALT,Plan Review
29033,ADD/ALT,No plan review
29034,ADD/ALT,No plan review
29035,ADD/ALT,No plan review
29036,ALTER,Plan Review
29037,ADD/ALT,No plan review
29038,ADD/ALT,No plan review
29039,ADD/ALT,Plan Review
29040,ADD/ALT,No plan review
29041,ADD/ALT,Plan Review
29042,ADD/ALT,No plan review
29043,ADD/ALT,No plan review
29044,NEW,Plan Review
29045,NEW,Plan Review
29046,ADD/ALT,Plan Review
29047,ADD/ALT,No plan review
29048,ADD/ALT,Plan Review
29049,NEW,Plan Review
29050,ADD/ALT,No plan review
29051,NEW,Plan Review
29052,NEW,Plan Review
29053,ADD/ALT,No plan review
29054,ADD/ALT,Plan Review
29055,DEMOLITION,No plan review
29056,ADD/ALT,Plan Review
29057,ADD/ALT,No plan review
29058,ADD/ALT,Plan Review
29059,ADD/ALT,No plan review
29060,ADD/ALT,No plan review
29061,NEW,Plan Review
29062,TREE/VEGETATION MAINT/RESTORE,No plan review
29063,ADD/ALT,No plan review
29064,NEW,Plan Review
29065,ADD/ALT,No plan review
29066,ALTER,Plan Review
29067,ADD/ALT,No plan review
29068,NEW,Plan Review
29069,DEMOLITION,No plan review
29070,ADD/ALT,No plan review
29071,ADD/ALT,No plan review
29072,ADD/ALT,No plan review
29073,ADD/ALT,Plan Review
29074,ADD/ALT,No plan review
29075,ADD/ALT,Plan Review
29076,ADD/ALT,No plan review
29077,ADD/ALT,No plan review
29078,ADD/ALT,No plan review
29079,DEMOLITION,No plan review
29080,DEMOLITION,No plan review
29081,NEW,Plan Review
29082,ADD/ALT,No plan review
29083,ADD/ALT,Plan Review
29084,NEW,Plan Review
29085,DEMOLITION,No plan review
29086,NEW,Plan Review
29087,ALTER,Plan Review
29088,ALTER,Plan Review
29089,ADD/ALT,Plan Review
29090,ALTER,Plan Review
29091,ADD/ALT,Plan Review
29092,NEW,Plan Review
29093,NEW,Plan Review
29094,NEW,Plan Review
29095,NEW,Plan Review
29096,ADD/ALT,No plan review
29097,ADD/ALT,No plan review
29098,DEMOLITION,No plan review
29099,TEMP,Plan Review
29100,ADD/ALT,No plan review
29101,ADD/ALT,Plan Review
29102,ADD/ALT,No plan review
29103,NEW,Plan Review
29104,ADD/ALT,Plan Review
29105,,No plan review
29106,NO CONSTRUCTION,Plan Review
29107,GRADING,Plan Review
29108,ADD/ALT,Plan Review
29109,ADD/ALT,No plan review
29110,ADD/ALT,No plan review
29111,DEMOLITION,No plan review
29112,ADD/ALT,Plan Review
29113,NEW,Plan Review
29114,ADD/ALT,Plan Review
29115,ADD/ALT,Plan Review
29116,ADD/ALT,Plan Review
29117,ADD/ALT,Plan Review
29118,ADD/ALT,No plan review
29119,ADD/ALT,No plan review
29120,ADD/ALT,No plan review
29121,ADD/ALT,No plan review
29122,ADD/ALT,No plan review
29123,ADD/ALT,No plan review
29124,ADD/ALT,No plan review
29125,ALTER,Plan Review
29126,ADD/ALT,Plan Review
29127,ADD/ALT,No plan review
29128,ADD/ALT,No plan review
29129,ADD/ALT,No plan review
29130,ADD/ALT,Plan Review
29131,ADD/ALT,Plan Review
29132,ADD/ALT,No plan review
29133,ADD/ALT,No plan review
29134,ADD/ALT,No plan review
29135,ADD/ALT,No plan review
29136,ADD/ALT,No plan review
29137,ADD/ALT,Plan Review
29138,NEW,Plan Review
29139,NEW,Plan Review
29140,ADD/ALT,Plan Review
29141,ADD/ALT,Plan Review
29142,ADD/ALT,Plan Review
29143,ADD/ALT,Plan Review
29144,NEW,Plan Review
29145,DEMOLITION,No plan review
29146,NO CONSTRUCTION,No plan review
29147,NEW,Plan Review
29148,NEW,Plan Review
29149,DEMOLITION,No plan review
29150,DEMOLITION,No plan review
29151,ADD/ALT,No plan review
29152,ADD/ALT,Plan Review
29153,ADD/ALT,No plan review
29154,ALTER,Plan Review
29155,ADD/ALT,No plan review
29156,ADD/ALT,No plan review
29157,ADD/ALT,Plan Review
29158,ADD/ALT,Plan Review
29159,ADD/ALT,No plan review
29160,ADD/ALT,Plan Review
29161,ADD/ALT,No plan review
29162,ALTER,Plan Review
29163,ALTER,Plan Review
29164,ADD/ALT,Plan Review
29165,ADD/ALT,No plan review
29166,ADD/ALT,Plan Review
29167,ADD/ALT,Plan Review
29168,NEW,Plan Review
29169,ADD/ALT,Plan Review
29170,ADD/ALT,Plan Review
29171,ALTER,Plan Review
29172,NEW,Plan Review
29173,ALTER,Plan Review
29174,ADD/ALT,No plan review
29175,ADD/ALT,No plan review
29176,ADD/ALT,Plan Review
29177,ADD/ALT,Plan Review
29178,ADD/ALT,No plan review
29179,ADD/ALT,Plan Review
29180,ADD/ALT,No plan review
29181,,Plan Review
29182,ADD/ALT,Plan Review
29183,ADD/ALT,No plan review
29184,ADD/ALT,Plan Review
29185,DEMOLITION,No plan review
29186,NEW,Plan Review
29187,ADD/ALT,Plan Review
29188,DEMOLITION,No plan review
29189,NEW,Plan Review
29190,NEW,Plan Review
29191,ADD/ALT,Plan Review
29192,DEMOLITION,No plan review
29193,NEW,Plan Review
29194,NEW,Plan Review
29195,NEW,Plan Review
29196,ADD/ALT,Plan Review
29197,DEMOLITION,No plan review
29198,ADD/ALT,Plan Review
29199,ADD/ALT,No plan review
29200,NEW,Plan Review
29201,ADD/ALT,Plan Review
29202,ADD/ALT,Plan Review
29203,NEW,Plan Review
29204,ADD/ALT,No plan review
29205,ADD/ALT,No plan review
29206,ADD/ALT,No plan review
29207,ADD/ALT,Plan Review
29208,ADD/ALT,Plan Review
29209,ADD/ALT,No plan review
29210,ADD/ALT,Plan Review
29211,ADD/ALT,No plan review
29212,ADD/ALT,No plan review
29213,ADD/ALT,No plan review
29214,ADD/ALT,Plan Review
29215,ADD/ALT,No plan review
29216,ADD/ALT,Plan Review
29217,ADD/ALT,Plan Review
29218,ADD/ALT,No plan review
29219,DEMOLITION,No plan review
29220,ADD/ALT,Plan Review
29221,ADD/ALT,No plan review
29222,ADD/ALT,No plan review
29223,ADD/ALT,Plan Review
29224,ADD/ALT,Plan Review
29225,NEW,Plan Review
29226,ADD/ALT,Plan Review
29227,CURB CUT,No plan review
29228,ADD/ALT,Plan Review
29229,ADD/ALT,Plan Review
29230,NEW,Plan Review
29231,ADD/ALT,Plan Review
29232,DEMOLITION,No plan review
29233,ADD/ALT,No plan review
29234,ADD/ALT,Plan Review
29235,ADD/ALT,No plan review
29236,ADD/ALT,No plan review
29237,ADD/ALT,Plan Review
29238,NEW,Plan Review
29239,ADD/ALT,No plan review
29240,ADD/ALT,Plan Review
29241,ADD/ALT,Plan Review
29242,ADD/ALT,No plan review
29243,ADD/ALT,Plan Review
29244,ADD/ALT,No plan review
29245,ADD/ALT,Plan Review
29246,ADD/ALT,No plan review
29247,ADD/ALT,Plan Review
29248,ADD/ALT,No plan review
29249,ADD/ALT,Plan Review
29250,ADD/ALT,No plan review
29251,ADD/ALT,Plan Review
29252,ADD/ALT,No plan review
29253,NEW,Plan Review
29254,NEW,Plan Review
29255,ADD/ALT,Plan Review
29256,ADD/ALT,Plan Review
29257,NEW,Plan Review
29258,ADD/ALT,Plan Review
29259,DEMOLITION,No plan review
29260,NEW,Plan Review
29261,TREE/VEGETATION MAINT/RESTORE,No plan review
29262,ADD/ALT,No plan review
29263,ADD/ALT,Plan Review
29264,ADD/ALT,Plan Review
29265,ADD/ALT,No plan review
29266,ADD/ALT,No plan review
29267,ADD/ALT,No plan review
29268,ADD/ALT,No plan review
29269,ADD/ALT,No plan review
29270,ADD/ALT,No plan review
29271,ADD/ALT,No plan review
29272,ALTER,Plan Review
29273,ADD/ALT,Plan Review
29274,ALTER,Plan Review
29275,DEMOLITION,No plan review
29276,DEMOLITION,No plan review
29277,NEW,Plan Review
29278,ADD/ALT,No plan review
29279,ADD/ALT,No plan review
29280,ADD/ALT,No plan review
29281,NEW,Plan Review
29282,NEW,Plan Review
29283,ADD/ALT,Plan Review
29284,ADD/ALT,Plan Review
29285,DEMOLITION,No plan review
29286,ADD/ALT,No plan review
29287,ADD/ALT,Plan Review
29288,NEW,Plan Review
29289,ADD/ALT,No plan review
29290,DEMOLITION,Plan Review
29291,NEW,Plan Review
29292,DEMOLITION,No plan review
29293,NEW,Plan Review
29294,ADD/ALT,Plan Review
29295,ADD/ALT,No plan review
29296,NEW,Plan Review
29297,ADD/ALT,No plan review
29298,ADD/ALT,Plan Review
29299,ADD/ALT,No plan review
29300,ADD/ALT,No plan review
29301,ALTER,Plan Review
29302,,No plan review
29303,ADD/ALT,No plan review
29304,NEW,Plan Review
29305,ADD/ALT,Plan Review
29306,ADD/ALT,No plan review
29307,NEW,Plan Review
29308,ADD/ALT,Plan Review
29309,DEMOLITION,Plan Review
29310,NEW,Plan Review
29311,NEW,Plan Review
29312,ALTER,Plan Review
29313,ADD/ALT,Plan Review
29314,ADD/ALT,No plan review
29315,ADD/ALT,No plan review
29316,ADD/ALT,Plan Review
29317,ADD/ALT,No plan review
29318,ADD/ALT,No plan review
29319,GRADING,Plan Review
29320,ADD/ALT,No plan review
29321,NO CONSTRUCTION,Plan Review
29322,ADD/ALT,Plan Review
29323,ADD/ALT,No plan review
29324,ADD/ALT,Plan Review
29325,ADD/ALT,No plan review
29326,DEMOLITION,No plan review
29327,ALTER,Plan Review
29328,NEW,Plan Review
29329,ADD/ALT,Plan Review
29330,GRADING,Plan Review
29331,ADD/ALT,Plan Review
29332,ADD/ALT,No plan review
29333,DEMOLITION,No plan review
29334,ADD/ALT,Plan Review
29335,ADD/ALT,Plan Review
29336,ADD/ALT,Plan Review
29337,ADD/ALT,Plan Review
29338,ADD/ALT,No plan review
29339,ADD/ALT,No plan review
29340,ADD/ALT,Plan Review
29341,ADD/ALT,No plan review
29342,ALTER,Plan Review
29343,ADD/ALT,No plan review
29344,ADD/ALT,Plan Review
29345,ADD/ALT,Plan Review
29346,NEW,Plan Review
29347,ADD/ALT,No plan review
29348,ADD/ALT,No plan review
29349,ADD/ALT,Plan Review
29350,ADD/ALT,No plan review
29351,ADD/ALT,Plan Review
29352,ADD/ALT,Plan Review
29353,ADD/ALT,No plan review
29354,ADD/ALT,Plan Review
29355,ADD/ALT,No plan review
29356,ADD/ALT,No plan review
29357,ADD/ALT,Plan Review
29358,ADD/ALT,Plan Review
29359,NEW,Plan Review
29360,ADD/ALT,No plan review
29361,ADD/ALT,Plan Review
29362,ADD/ALT,No plan review
29363,ADD/ALT,No plan review
29364,ADD/ALT,No plan review
29365,ADD/ALT,Plan Review
29366,ADD/ALT,No plan review
29367,ADD/ALT,No plan review
29368,ADD/ALT,Plan Review
29369,NEW,Plan Review
29370,ADD/ALT,Plan Review
29371,NEW,Plan Review
29372,ADD/ALT,Plan Review
29373,ADD/ALT,Plan Review
29374,ADD/ALT,Plan Review
29375,NEW,Plan Review
29376,ADD/ALT,Plan Review
29377,ADD/ALT,No plan review
29378,NEW,Plan Review
29379,ADD/ALT,No plan review
29380,NO CONSTRUCTION,No plan review
29381,ALTER,Plan Review
29382,ADD/ALT,No plan review
29383,NEW,Plan Review
29384,NEW,Plan Review
29385,ADD/ALT,No plan review
29386,ADD/ALT,Plan Review
29387,NEW,Plan Review
29388,ADD/ALT,Plan Review
29389,ADD/ALT,No plan review
29390,ADD/ALT,Plan Review
29391,ADD/ALT,No plan review
29392,ALTER,Plan Review
29393,ADD/ALT,Plan Review
29394,NEW,Plan Review
29395,ADD/ALT,Plan Review
29396,ADD/ALT,No plan review
29397,DEMOLITION,No plan review
29398,ADD/ALT,No plan review
29399,ADD/ALT,Plan Review
29400,TEMP,Plan Review
29401,NEW,Plan Review
29402,ADD/ALT,Plan Review
29403,ADD/ALT,Plan Review
29404,ADD/ALT,Plan Review
29405,ADD/ALT,No plan review
29406,ADD/ALT,Plan Review
29407,ADD/ALT,No plan review
29408,ADD/ALT,Plan Review
29409,ADD/ALT,Plan Review
29410,ADD/ALT,No plan review
29411,NEW,Plan Review
29412,DEMOLITION,No plan review
29413,ADD/ALT,No plan review
29414,ADD/ALT,Plan Review
29415,ADD/ALT,Plan Review
29416,ADD/ALT,Plan Review
29417,ADD/ALT,No plan review
29418,ADD/ALT,Plan Review
29419,NEW,Plan Review
29420,ADD/ALT,Plan Review
29421,NEW,Plan Review
29422,NEW,Plan Review
29423,ADD/ALT,No plan review
29424,ADD/ALT,No plan review
29425,ALTER,Plan Review
29426,NEW,Plan Review
29427,ADD/ALT,Plan Review
29428,ADD/ALT,Plan Review
29429,ADD/ALT,Plan Review
29430,DEMOLITION,No plan review
29431,ADD/ALT,No plan review
29432,ADD/ALT,No plan review
29433,TREE/VEGETATION MAINT/RESTORE,No plan review
29434,ADD/ALT,No plan review
29435,ADD/ALT,Plan Review
29436,ADD/ALT,No plan review
29437,ADD/ALT,No plan review
29438,DEMOLITION,No plan review
29439,ADD/ALT,Plan Review
29440,ADD/ALT,Plan Review
29441,DEMOLITION,No plan review
29442,NEW,Plan Review
29443,ADD/ALT,Plan Review
29444,ADD/ALT,Plan Review
29445,DEMOLITION,No plan review
29446,ADD/ALT,Plan Review
29447,NEW,Plan Review
29448,ADD/ALT,No plan review
29449,DEMOLITION,No plan review
29450,ADD/ALT,Plan Review
29451,ADD/ALT,No plan review
29452,,Plan Review
29453,ADD/ALT,Plan Review
29454,ADD/ALT,Plan Review
29455,ADD/ALT,No plan review
29456,ADD/ALT,Plan Review
29457,ALTER,Plan Review
29458,ADD/ALT,No plan review
29459,ADD/ALT,Plan Review
29460,NEW,Plan Review
29461,ALTER,Plan Review
29462,ADD/ALT,No plan review
29463,NEW,Plan Review
29464,DEMOLITION,No plan review
29465,ADD/ALT,No plan review
29466,ADD/ALT,Plan Review
29467,NEW,Plan Review
29468,ADD/ALT,No plan review
29469,ADD/ALT,Plan Review
29470,ADD/ALT,Plan Review
29471,ADD/ALT,Plan Review
29472,ADD/ALT,Plan Review
29473,ADD/ALT,No plan review
29474,NEW,Plan Review
29475,,No plan review
29476,ADD/ALT,No plan review
29477,ADD/ALT,Plan Review
29478,NEW,Plan Review
29479,ADD/ALT,Plan Review
29480,NEW,Plan Review
29481,ADD/ALT,No plan review
29482,ADD/ALT,Plan Review
29483,ADD/ALT,No plan review
29484,NEW,Plan Review
29485,DEMOLITION,No plan review
29486,ADD/ALT,No plan review
29487,ADD/ALT,Plan Review
29488,TREE/VEGETATION MAINT/RESTORE,No plan review
29489,ADD/ALT,No plan review
29490,ADD/ALT,No plan review
29491,ADD/ALT,No plan review
29492,ADD/ALT,No plan review
29493,TREE/VEGETATION MAINT/RESTORE,No plan review
29494,ADD/ALT,Plan Review
29495,ADD/ALT,No plan review
29496,ADD/ALT,No plan review
29497,ADD/ALT,Plan Review
29498,ADD/ALT,No plan review
29499,ADD/ALT,Plan Review
29500,ADD/ALT,No plan review
29501,NEW,Plan Review
29502,ADD/ALT,Plan Review
29503,ADD/ALT,Plan Review
29504,ADD/ALT,No plan review
29505,ADD/ALT,Plan Review
29506,ADD/ALT,Plan Review
29507,ADD/ALT,Plan Review
29508,ADD/ALT,No plan review
29509,ADD/ALT,Plan Review
29510,ADD/ALT,No plan review
29511,ADD/ALT,No plan review
29512,NEW,Plan Review
29513,,No plan review
29514,ALTER,Plan Review
29515,ADD/ALT,Plan Review
29516,ADD/ALT,Plan Review
29517,ALTER,Plan Review
29518,ADD/ALT,Plan Review
29519,ADD/ALT,No plan review
29520,ADD/ALT,Plan Review
29521,ADD/ALT,No plan review
29522,,No plan review
29523,,No plan review
29524,,No plan review
29525,,No plan review
29526,NEW,Plan Review
29527,NEW,Plan Review
29528,NEW,Plan Review
29529,NEW,Plan Review
29530,DEMOLITION,No plan review
29531,ADD/ALT,Plan Review
29532,ADD/ALT,Plan Review
29533,ADD/ALT,Plan Review
29534,ADD/ALT,No plan review
29535,ADD/ALT,Plan Review
29536,ALTER,Plan Review
29537,ADD/ALT,Plan Review
29538,ADD/ALT,Plan Review
29539,ADD/ALT,No plan review
29540,ADD/ALT,No plan review
29541,ADD/ALT,No plan review
29542,ADD/ALT,No plan review
29543,DEMOLITION,No plan review
29544,DEMOLITION,No plan review
29545,ADD/ALT,Plan Review
29546,NEW,Plan Review
29547,ADD/ALT,Plan Review
29548,ADD/ALT,No plan review
